key,ko,en,vi,comment
"hub.contentStoreDescription","웹 Content Store에서 콘텐츠를 탐색하고 Unity 프로젝트에 설치합니다.","Browse the web Content Store and install content into the Unity project.","Duyet web Content Store va cai noi dung vao du an Unity.","Unity Hub section"
"hub.catalogDescription","Studio와 Unity bake 작업에서 사용하는 generated catalog를 갱신합니다.","Refresh the generated catalog used by Studio and Unity bake jobs.","Lam moi generated catalog duoc Studio va tac vu Unity bake su dung.","Unity Hub section"
"hub.topImagesSectionDescription","관리자용 콘텐츠 미리보기 이미지를 캡처하고 export합니다.","Capture and export admin content preview images.","Chup va export anh xem truoc noi dung cho quan tri vien.","Unity Hub section"
"hub.workerDescription","로컬 Unity bake worker 연결을 확인하고 다시 연결합니다.","Check and reconnect the local Unity bake worker.","Kiem tra va ket noi lai Unity bake worker cuc bo.","Unity Hub section"
"hub.studioDescription","현재 Unity 프로젝트의 AI Playable Studio 진입점을 엽니다.","Open the AI Playable Studio entry point for the current Unity project.","Mo diem vao AI Playable Studio cho du an Unity hien tai.","Unity Hub section"
"contentStore.requestFailedHttp","Content Store 요청 실패: HTTP {0} {1}","Content Store request failed: HTTP {0} {1}","Yeu cau Content Store that bai: HTTP {0} {1}","Unity Content Store"
"contentStore.requestFailed","Content Store 요청 실패: {0}","Content Store request failed: {0}","Yeu cau Content Store that bai: {0}","Unity Content Store"
"contentStore.authRequiredUpload","Content Store 업로드에는 인증된 계정이 필요합니다.","Content Store upload requires an authenticated account.","Tai len Content Store can tai khoan da xac thuc.","Unity Content Store"
"contentStore.savedLoginMissing","저장된 Content Store 로그인이 없습니다.","No saved Content Store login was found.","Khong tim thay dang nhap Content Store da luu.","Unity Content Store"
"contentStore.topImageLoginRequired","top image 기능은 로그인된 Content Store 계정이 필요합니다.","Top image tools require a signed-in Content Store account.","Cong cu top image can tai khoan Content Store da dang nhap.","Unity Content Store"
"contentStore.topImageAdminRequired","top image 기능은 Content Store 관리자만 실행할 수 있습니다.","Only Content Store admins can run top image tools.","Chi quan tri vien Content Store moi co the chay cong cu top image.","Unity Content Store"
"contentStore.installerDescription","구독한 AIPS 콘텐츠 패키지를 설치합니다.","Install subscribed AIPS content packages.","Cai dat cac goi noi dung AIPS da dang ky.","Unity Content Store"
"contentStore.notConnected","연결되지 않음","Not connected","Chua ket noi","Unity Content Store"
"contentStore.downloadQueueRunning","Download Queue 진행 중 {0}/{1}","Download Queue running {0}/{1}","Download Queue dang chay {0}/{1}","Unity Content Store"
"contentStore.downloadQueueSelected","Download Queue {0}개 선택됨","Download Queue {0} selected","Download Queue da chon {0}","Unity Content Store"
"contentStore.downloadQueueSummary"," · 설치 {0} · 실패 {1} · 건너뜀 {2}"," · Installed {0} · Failed {1} · Skipped {2}"," · Da cai {0} · Loi {1} · Bo qua {2}","Unity Content Store"
"contentStore.uploadQueueRunning","진행 {0}/{1}","Running {0}/{1}","Dang chay {0}/{1}","Unity Content Store"
"contentStore.uploadQueuePending","대기 {0}","Pending {0}","Dang cho {0}","Unity Content Store"
"contentStore.uploadQueueSummary"," · 완료 {0} · 실패 {1} · 건너뜀 {2}"," · Done {0} · Failed {1} · Skipped {2}"," · Hoan tat {0} · Loi {1} · Bo qua {2}","Unity Content Store"
"contentStore.uploadDoneSummary","업로드 완료: {0}개 서버 job 등록, {1}개 실패, {2}개 건너뜀","Upload complete: {0} server jobs queued, {1} failed, {2} skipped","Tai len hoan tat: {0} job may chu da them, {1} loi, {2} bo qua","Unity Content Store"
"contentStore.serverCatalogUpdated","서버 catalog가 갱신되었습니다.","Server catalog updated.","Server catalog da cap nhat.","Unity Content Store"
"contentStore.noPermission","구독 또는 권한이 없습니다.","No subscription or permission.","Khong co dang ky hoac quyen.","Unity Content Store"
"contentStore.catalogPackageMissing","catalog package를 찾지 못했습니다.","Could not find the catalog package.","Khong tim thay catalog package.","Unity Content Store"
"dialog.descriptorValid","Descriptor validation passed.","Descriptor validation passed.","Xac thuc descriptor thanh cong.","Unity dialog"
"dialog.generatedCatalogRefreshed","자동 생성 카탈로그 authority를 갱신했습니다.","Generated catalog authority was refreshed.","Da lam moi generated catalog authority.","Unity dialog"
"dialog.unknownError","알 수 없는 오류가 발생했습니다.","An unknown error occurred.","Da xay ra loi khong xac dinh.","Unity dialog"
"dialog.catalogMissing","내보낼 Generated Content Catalog를 찾지 못했습니다.","Could not find a Generated Content Catalog to export.","Khong tim thay Generated Content Catalog de xuat.","Unity dialog"
"dialog.topImageRefreshDone","top image 새로고침이 완료되었습니다.","Top image refresh completed.","Lam moi top image da hoan tat.","Unity dialog"
"nav.studioAria","Studio 탐색","Studio navigation","Dieu huong Studio","Web nav"
"nav.home","홈","Home","Trang chu","Web nav"
"nav.playables","플레이어블","Playables","Playable","Web nav"
"nav.guide","가이드","Guide","Huong dan","Web nav"
"nav.content","콘텐츠","Content","Noi dung","Web nav"
"nav.contentStore","콘텐츠 스토어","Content Store","Content Store","Web nav"
"auth.logout","로그아웃","Log out","Dang xuat","Web auth"
"auth.workerCheckNeeded","워커 확인 필요","Worker check needed","Can kiem tra worker","Web auth"
"auth.loginAria","AI Playable Studio 로그인","AI Playable Studio login","Dang nhap AI Playable Studio","Web auth"
"auth.startFromUnity","Unity에서 시작","Start from Unity","Bat dau tu Unity","Web auth"
"auth.openFromUnity","Unity에서 AIPS를 시작해 주세요.","Start AIPS from Unity.","Hay bat dau AIPS tu Unity.","Web auth"
"auth.loginGoogle","Google로 시작","Start with Google","Bat dau voi Google","Web auth"
"auth.loginHint","Unity에서 AI Playable Studio로 시작하세요.","Start from AI Playable Studio in Unity.","Hay bat dau tu AI Playable Studio trong Unity.","Web auth"
"home.aria","AI Playable Studio 홈","AI Playable Studio home","Trang chu AI Playable Studio","Web home"
"home.heroCopy","Unity 카탈로그와 AI 제작 흐름을 한 화면에서 정리합니다.","Manage Unity catalogs and AI production flow in one place.","Quan ly catalog Unity va quy trinh san xuat AI trong mot man hinh.","Web home"
"home.startTitle","플레이어블 시작하기","Start a playable","Bat dau playable","Web home"
"home.startDesc","세션 생성, 배치, 검사, 저장 화면으로 이동합니다.","Go to session creation, placement, validation, and save tools.","Di den cong cu tao session, dat doi tuong, kiem tra va luu.","Web home"
"home.consoleAria","AIPS 작업 콘솔","AIPS work console","Bang dieu khien cong viec AIPS","Web home"
"home.statusTitle","제작 상태","Production status","Trang thai san xuat","Web home"
"home.metric.sessions","세션","Sessions","Session","Web home"
"home.metric.catalog","카탈로그","Catalog","Catalog","Web home"
"home.metric.checking","확인 중","Checking","Dang kiem tra","Web home"
"catalog.none","카탈로그 없음","No catalog","Khong co catalog","Web catalog"
"catalog.menu","카탈로그 메뉴","Catalog menu","Menu catalog","Web catalog"
"catalog.title","카탈로그","Catalog","Catalog","Web catalog"
"catalog.detailHint","현재 플레이어블을 선택하면 카탈로그를 보여줍니다.","Select the current playable to show its catalog.","Chon playable hien tai de hien thi catalog.","Web catalog"
"catalog.applyLatest","최신 카탈로그로 업데이트","Update to latest catalog","Cap nhat len catalog moi nhat","Web catalog"
"catalog.unavailable","카탈로그를 불러올 수 없습니다.","Catalog is unavailable.","Khong the tai catalog.","Web catalog"
"tool.options","옵션","Options","Tuy chon","Web tool menu"
"tool.optionsPanel","옵션 패널","Options panel","Bang tuy chon","Web tool menu"
"tool.optionsMenu","옵션 메뉴","Options menu","Menu tuy chon","Web tool menu"
"contentStore.redirecting","Content Store로 이동 중입니다.","Opening Content Store.","Dang mo Content Store.","Web Content Store"
"contentStore.loadingUser","로그인 확인 중","Checking login","Dang kiem tra dang nhap","Web Content Store"
"contentStore.packageCount","{count}개 패키지","{count} packages","{count} packages","Web Content Store"
"contentStore.refresh","새로고침","Refresh","Lam moi","Web Content Store"
"contentStore.kicker","콘텐츠 스토어","Content Store","Content Store","Web Content Store"
"contentStore.subtitle","웹에서 패키지를 탐색하고 Unity 설치 작업을 요청할 수 있습니다.","Browse packages on the web and request Unity install jobs.","Duyet goi tren web va yeu cau tac vu cai dat Unity.","Web Content Store"
"contentStore.search","검색","Search","Tim kiem","Web Content Store"
"contentStore.searchPlaceholder","패키지, 오브젝트, 업로더, 버전 검색","Search packages, objects, uploader, or version","Tim package, object, uploader hoac version","Web Content Store"
"contentStore.status","상태","Status","Trang thai","Web Content Store"
"contentStore.all","전체","All","Tat ca","Web Content Store"
"contentStore.approved","승인됨","Approved","Da duyet","Web Content Store"
"contentStore.builtin","기본 제공","Built-in","Co san","Web Content Store"
"contentStore.pending","검토 중","In review","Dang duyet","Web Content Store"
"contentStore.rejected","반려됨","Rejected","Bi tu choi","Web Content Store"
"contentStore.subscription","구독","Subscription","Dang ky","Web Content Store"
"contentStore.subscribed","설치 가능","Installable","Co the cai dat","Web Content Store"
"contentStore.mine","내 업로드","My uploads","Tai len cua toi","Web Content Store"
"contentStore.sort","정렬","Sort","Sap xep","Web Content Store"
"contentStore.featured","추천순","Featured","De xuat","Web Content Store"
"contentStore.newest","최신순","Newest","Moi nhat","Web Content Store"
"contentStore.name","이름순","Name","Ten","Web Content Store"
"contentStore.size","용량순","Size","Dung luong","Web Content Store"
"contentStore.jobTitle","Content Store 작업","Content Store job","Tac vu Content Store","Web Content Store"
"contentStore.cancelRequested","Content Store 작업 취소를 요청했습니다.","Content Store job cancellation was requested.","Da yeu cau huy tac vu Content Store.","Web Content Store"
"contentStore.mountMissing","Content Store module mount 함수를 찾지 못했습니다.","Could not find the Content Store module mount function.","Khong tim thay ham mount cua module Content Store.","Web Content Store"
"contentStore.loadFailed","Content Store를 불러오지 못했습니다.","Could not load Content Store.","Khong the tai Content Store.","Web Content Store"
"contentStore.viewLoadFailed","Content Store 화면을 불러오지 못했습니다. ({status})","Could not load the Content Store view. ({status})","Khong the tai man hinh Content Store. ({status})","Web Content Store"
"session.nonePlayable","플레이어블 없음","No playable","Khong co playable","Web chat"
"session.playableStatus","플레이어블 상태","Playable status","Trang thai playable","Web chat"
"session.statusDialogSubtitle","현재 세션의 검사, 카탈로그, 베이크 가능 상태를 보여줍니다.","Shows validation, catalog, and bake readiness for the current session.","Hien trang thai kiem tra, catalog va san sang bake cho session hien tai.","Web chat"
"workflow.bakeBlocked","베이크 차단","Bake blocked","Bake bi chan","Web workflow"
"workflow.regenerateRequired","재생성 필요","Regeneration required","Can tao lai","Web workflow"
"workflow.blockingIssues","차단 이슈 있음","Blocking issues","Co van de chan","Web workflow"
"workflow.compatibilityBlocked","호환성 차단","Compatibility blocked","Bi chan tuong thich","Web workflow"
"workflow.blockerCount","차단 {count}건","{count} blockers","{count} blocker","Web workflow"
"session.detailCurrentStep","현재 step: {value}","Current step: {value}","Step hien tai: {value}","Web chat"
"session.detailCurrentStepStatus","현재 step 상태: {value}","Current step status: {value}","Trang thai step hien tai: {value}","Web chat"
"session.detailNextStep","다음 step: {value}","Next step: {value}","Step tiep theo: {value}","Web chat"
"session.detailCatalogLoaded","카탈로그 로드: {value}","Catalog loaded: {value}","Catalog da tai: {value}","Web chat"
"session.detailCheckMessage","검사 메시지: {value}","Check message: {value}","Thong diep kiem tra: {value}","Web chat"
"session.detailGenerateState","Generate 상태: {value}","Generate state: {value}","Trang thai Generate: {value}","Web chat"
"session.detailBakeCompatibilityMessage","Bake compatibility 메시지: {value}","Bake compatibility message: {value}","Thong diep tuong thich Bake: {value}","Web chat"
"session.detailBakeReady","베이크 준비 완료: {value}","Bake ready: {value}","Bake san sang: {value}","Web chat"
"session.detailBakeMessage","베이크 준비 메시지: {value}","Bake readiness message: {value}","Thong diep san sang Bake: {value}","Web chat"
"session.detailLastCheck","마지막 검사: {value}","Last check: {value}","Kiem tra cuoi: {value}","Web chat"
"session.currentNextStep","현재 step {current} · 다음 step {next}","Current step {current} · next step {next}","Step hien tai {current} · step tiep {next}","Web chat"
"chat.emptySystemHint","새 플레이어블 세션을 만들면 여기에서 AI 생성 요청을 보낼 수 있습니다.","Create a new playable session to send AI generation requests here.","Tao session playable moi de gui yeu cau tao AI o day.","Web chat"
"chat.unityDebug","Unity 디버그","Unity Debug","Unity Debug","Web chat"
"chat.localDebugTopImageHint","로컬 디버그 세션의 top image 갱신은 Unity 메뉴에서 직접 실행합니다.","Refresh top images for local debug sessions directly from the Unity menu.","Lam moi top image cho session debug local truc tiep tu menu Unity.","Web chat"
"chat.refreshTopImagesMenuHint","Unity Editor 메뉴 `AIPS/Authoring/Refresh Top Images`를 사용하세요.","Use the Unity Editor menu `AIPS/Authoring/Refresh Top Images`.","Dung menu Unity Editor `AIPS/Authoring/Refresh Top Images`.","Web chat"
"chat.requestingAiResponse","AI 응답을 요청하는 중입니다.","Requesting AI response.","Dang yeu cau phan hoi AI.","Web chat"
"chat.retryOrNewThread","이전 작업을 재시도하거나 새 대화를 시작하세요.","Retry the previous operation or start a new conversation.","Thu lai tac vu truoc hoac bat dau hoi thoai moi.","Web chat"
"chat.inputLockedByAi","AI 응답 중에는 입력할 수 없습니다.","Input is disabled while AI is responding.","Khong the nhap khi AI dang phan hoi.","Web chat"
"chat.debugNoHtmlAttachment","디버그 세션에서는 HTML 채팅 첨부를 사용하지 않습니다.","HTML chat attachments are not used in debug sessions.","Session debug khong dung dinh kem chat HTML.","Web chat"
"chat.fileTooLarge","{name}은 크기가 너무 큽니다.","{name} is too large.","{name} qua lon.","Web chat"
"chat.fileFallback","파일","File","File","Web chat"
"chat.fileUploadFailed","파일 업로드에 실패했습니다.","File upload failed.","Tai file len that bai.","Web chat"
"chat.attachmentImage","이미지","Image","Anh","Web chat"
"chat.attachmentText","텍스트","Text","Van ban","Web chat"
"chat.debugNoProviderChange","디버그 세션에서는 AI 제공자를 변경하지 않습니다.","AI provider cannot be changed in debug sessions.","Khong doi nha cung cap AI trong session debug.","Web chat"
"chat.providerChanged","AI 제공자를 {label}로 변경했습니다.","Changed AI provider to {label}.","Da doi nha cung cap AI thanh {label}.","Web chat"
"chat.providerChangeFailed","AI 제공자를 변경하지 못했습니다.","Could not change AI provider.","Khong the doi nha cung cap AI.","Web chat"
"chat.debugNoHtmlSend","디버그 세션에서는 HTML 채팅 전송을 사용하지 않습니다.","HTML chat send is not used in debug sessions.","Session debug khong dung gui chat HTML.","Web chat"
"chat.waitForAttachments","첨부 업로드가 끝난 뒤 전송해주세요.","Send after attachment uploads finish.","Hay gui sau khi upload dinh kem xong.","Web chat"
"chat.requestFailed","채팅 요청을 처리하지 못했습니다.","Could not process the chat request.","Khong the xu ly yeu cau chat.","Web chat"
"chat.debugNoHtmlInterrupt","디버그 세션에서는 HTML 채팅 중단을 사용하지 않습니다.","HTML chat interrupt is not used in debug sessions.","Session debug khong dung dung chat HTML.","Web chat"
"chat.noRunningOperation","중단할 진행 중 작업이 없습니다.","There is no running operation to interrupt.","Khong co tac vu dang chay de dung.","Web chat"
"chat.interrupted","채팅 작업을 중단했습니다.","Chat operation interrupted.","Da dung tac vu chat.","Web chat"
"chat.interruptFailed","채팅 작업을 중단하지 못했습니다.","Could not interrupt the chat operation.","Khong the dung tac vu chat.","Web chat"
"chat.debugNoHtmlRetry","디버그 세션에서는 HTML 채팅 재시도를 사용하지 않습니다.","HTML chat retry is not used in debug sessions.","Session debug khong dung thu lai chat HTML.","Web chat"
"chat.noInterruptedOperation","재시도할 중단 작업을 찾지 못했습니다.","No interrupted operation was found to retry.","Khong tim thay tac vu da dung de thu lai.","Web chat"
"chat.retryFailed","중단된 작업을 재시도하지 못했습니다.","Could not retry the interrupted operation.","Khong the thu lai tac vu da dung.","Web chat"
"chat.debugNoNewThread","디버그 세션에서는 HTML 새 대화를 시작할 수 없습니다.","A new HTML chat conversation cannot be started in debug sessions.","Khong the bat dau hoi thoai HTML moi trong session debug.","Web chat"
"chat.newThreadFailed","새 대화를 시작하지 못했습니다.","Could not start a new conversation.","Khong the bat dau hoi thoai moi.","Web chat"
"chat.refreshFailed","채팅 상태를 갱신하지 못했습니다.","Could not refresh chat status.","Khong the lam moi trang thai chat.","Web chat"
"chat.original","원문","Original","Ban goc","Web chat"
"chat.detailsHidden","답변 상세와 시스템 로그는 숨겨져 있습니다.","Response details and system logs are hidden.","Chi tiet phan hoi va log he thong da an.","Web chat"
"chat.defaultPlayablePrompt","플레이어블 생성해줘","Generate a playable","Tao playable","Web chat"
"chat.workInProgress","작업을 진행하고 있습니다.","Work in progress.","Dang xu ly tac vu.","Web chat"
"chat.workHandled","작업을 처리했습니다.","Work processed.","Da xu ly tac vu.","Web chat"
"chat.saveInProgress","저장 작업을 진행하고 있습니다.","Save in progress.","Dang luu.","Web chat"
"chat.saveHandled","저장 작업을 마쳤습니다.","Save completed.","Da luu xong.","Web chat"
"chat.checkInProgress","검사 작업을 진행하고 있습니다.","Check in progress.","Dang kiem tra.","Web chat"
"chat.checkHandled","검사 작업을 마쳤습니다.","Check completed.","Da kiem tra xong.","Web chat"
"chat.generateInProgress","생성 작업을 진행하고 있습니다.","Generation in progress.","Dang tao.","Web chat"
"chat.generateHandled","생성 작업을 마쳤습니다.","Generation completed.","Da tao xong.","Web chat"
"chat.imageInProgress","이미지 작업을 진행하고 있습니다.","Image work in progress.","Dang xu ly anh.","Web chat"
"chat.imageHandled","이미지 작업을 마쳤습니다.","Image work completed.","Da xu ly anh xong.","Web chat"
"chat.fileInProgress","파일 작업을 진행하고 있습니다.","File work in progress.","Dang xu ly file.","Web chat"
"chat.fileHandled","파일 작업을 마쳤습니다.","File work completed.","Da xu ly file xong.","Web chat"
"chat.user","사용자","User","Nguoi dung","Web chat"
"chat.aiWorking","AI 작업을 실행 중입니다.","AI work is running.","Tac vu AI dang chay.","Web chat"
"chat.elapsedInterruptedSeconds","({seconds}초 후 중단됨)","(interrupted after {seconds}s)","(bi dung sau {seconds}s)","Web chat"
"chat.elapsedInterruptedMinutes","({minutes}분 {seconds}초 후 중단됨)","(interrupted after {minutes}m {seconds}s)","(bi dung sau {minutes}p {seconds}s)","Web chat"
"chat.elapsedInterruptedHours","({hours}시간 {minutes}분 후 중단됨)","(interrupted after {hours}h {minutes}m)","(bi dung sau {hours}g {minutes}p)","Web chat"
"chat.elapsedRunningSeconds","({seconds}초 진행중...)","({seconds}s running...)","({seconds}s dang chay...)","Web chat"
"chat.elapsedRunningMinutes","({minutes}분 {seconds}초 진행중...)","({minutes}m {seconds}s running...)","({minutes}p {seconds}s dang chay...)","Web chat"
"chat.elapsedRunningHours","({hours}시간 {minutes}분 진행중...)","({hours}h {minutes}m running...)","({hours}g {minutes}p dang chay...)","Web chat"
"chat.noDetail","표시할 상세 정보가 없습니다.","No details to display.","Khong co chi tiet de hien.","Web chat"
"chat.noItems","표시할 항목이 없습니다.","No items to display.","Khong co muc de hien.","Web chat"
"chat.noContent","내용이 없습니다.","No content.","Khong co noi dung.","Web chat"
"chat.noAttachments","첨부 파일이 없습니다.","No attachments.","Khong co dinh kem.","Web chat"
"chat.noTrace","트레이스가 없습니다.","No trace.","Khong co trace.","Web chat"
"chat.detail.kind","종류","Kind","Loai","Web chat"
"chat.detail.size","크기","Size","Kich thuoc","Web chat"
"chat.detail.link","링크","Link","Lien ket","Web chat"
"chat.detail.status","상태","Status","Trang thai","Web chat"
"chat.detail.time","시각","Time","Thoi gian","Web chat"
"chat.detail.exitCode","종료 코드","Exit code","Exit code","Web chat"
"chat.detail.role","역할","Role","Vai tro","Web chat"
"chat.detail.createdAt","생성 시각","Created at","Tao luc","Web chat"
"chat.detail.attachmentCount","첨부 수","Attachment count","So dinh kem","Web chat"
"chat.detail.overview","개요","Overview","Tong quan","Web chat"
"chat.detail.body","본문","Body","Noi dung","Web chat"
"chat.detail.attachments","첨부 파일","Attachments","Dinh kem","Web chat"
"chat.detail.trace","트레이스","Trace","Trace","Web chat"
"chat.detail.startedAt","시작","Started","Bat dau","Web chat"
"chat.detail.updatedAt","갱신","Updated","Cap nhat","Web chat"
"chat.detail.completedAt","완료","Completed","Hoan tat","Web chat"
"chat.detail.operationStatus","작업 상태","Operation status","Trang thai tac vu","Web chat"
"chat.detail.currentMessage","현재 메시지","Current message","Thong diep hien tai","Web chat"
"chat.detail.command","명령","Command","Lenh","Web chat"
"chat.detail.error","오류","Error","Loi","Web chat"
"chat.detail.fullTrace","전체 트레이스","Full trace","Trace day du","Web chat"
"chat.detail.text","텍스트","Text","Van ban","Web chat"
"chat.detail.result","결과","Result","Ket qua","Web chat"
"chat.detail.details","세부 정보","Details","Chi tiet","Web chat"
"runtime.bootMissing","Layout Editor runtime boot()를 찾지 못했습니다.","Could not find Layout Editor runtime boot().","Khong tim thay Layout Editor runtime boot().","Web runtime"
"runtime.moduleLoadFailed","Layout Editor module을 불러오지 못했습니다: {chunk} ({status})","Could not load Layout Editor module: {chunk} ({status})","Khong the tai module Layout Editor: {chunk} ({status})","Web runtime"
"bridge.checking","Unity Editor 연결을 확인하는 중입니다.","Checking Unity Editor connection.","Dang kiem tra ket noi Unity Editor.","Web bridge"
"bridge.disconnected","Unity Editor 연결이 끊겼습니다. Unity에서 AI Playable Studio를 다시 실행하세요.","Unity Editor disconnected. Run AI Playable Studio again from Unity.","Unity Editor da ngat ket noi. Hay chay lai AI Playable Studio tu Unity.","Web bridge"
"bridge.startFromUnity","Unity Editor에서 AI Playable Studio를 실행하면 Google 로그인이 이어집니다.","Run AI Playable Studio in Unity Editor to continue Google login.","Chay AI Playable Studio trong Unity Editor de tiep tuc dang nhap Google.","Web bridge"
"workspace.checkNeeded","워크스페이스 확인 필요","Workspace check needed","Can kiem tra workspace","Web identity"
"worker.label","워커 {suffix}","Worker {suffix}","Worker {suffix}","Web worker badge"
"common.close","닫기","Close","Dong","Common UI"
"common.cancel","취소","Cancel","Huy","Common UI"
"common.open","열기","Open","Mo","Common UI"
"common.copy","복사","Copy","Sao chep","Common UI"
"common.refresh","새로고침","Refresh","Lam moi","Common UI"
"common.notice","주의","Notice","Luu y","Common UI"
"common.wait","잠시만 기다려주세요.","Please wait a moment.","Vui long doi mot chut.","Common UI"
"common.user","사용자","User","Nguoi dung","Common UI"
"common.none","없음","None","Khong co","Common UI"
"common.yes","예","Yes","Co","Common UI"
"common.no","아니오","No","Khong","Common UI"
"status.connected","연결됨","Connected","Da ket noi","Status label"
"status.waiting","대기","Waiting","Dang cho","Status label"
"status.required","필요","Required","Can thiet","Status label"
"status.server","서버","Server","May chu","Status label"
"status.loading","불러오는 중","Loading","Dang tai","Status label"
"status.refreshNeeded","새로고침 필요","Refresh needed","Can lam moi","Status label"
"status.saving","저장 중","Saving","Dang luu","Status label"
"status.checking","검사 중","Checking","Dang kiem tra","Status label"
"status.quickFixing","빠른수정 중","Quick fixing","Dang sua nhanh","Status label"
"status.switchingAi","AI 전환 중","Switching AI","Dang doi AI","Status label"
"status.aiResponding","AI 응답중","AI responding","AI dang phan hoi","Status label"
"status.interrupting","중단 요청중","Interrupting","Dang yeu cau dung","Status label"
"status.previewPreparing","프리뷰 준비중","Preparing preview","Dang chuan bi preview","Status label"
"status.aiGenerating","AI 생성중","AI generating","AI dang tao","Status label"
"status.catalogApplying","카탈로그 적용중","Applying catalog","Dang ap dung catalog","Status label"
"status.bakeCompatibilityBlocked","베이크 호환성 차단","Bake compatibility blocked","Bi chan tuong thich bake","Status label"
"status.baking","베이크 중","Baking","Dang bake","Status label"
"status.beforeGeneration","생성 전","Before generation","Truoc khi tao","Status label"
